Name,Height,Weight,Reach,Stance,Wins,Losses,Draws
Lagman,Bad News,"6' 2""",185 lbs.,--,,6,5
Lahat,Neo,"5' 9""",145 lbs.,"69.0""",Orthodox,11,2
Lahdemaki,Jelly Bean,"5' 2""",115 lbs.,--,Orthodox,5,1
Lainesse,White Lion,"6' 1""",170 lbs.,"76.0""",Orthodox,9,3
Lajcik,The Bohemian,"6' 1""",225 lbs.,--,Orthodox,7,6
Lally,,"5' 7""",145 lbs.,--,Orthodox,2,1
Lally,The Unpredictable One,"6' 0""",170 lbs.,--,Orthodox,7,3
Lamas,The Bully,"5' 8""",145 lbs.,"71.0""",Orthodox,20,8
Lambert,The Punisher,"6' 3""",185 lbs.,"75.0""",Orthodox,26,13
Landi-Jons,Pele,"5' 11""",170 lbs.,--,Orthodox,29,16
Landwehr,The Train,"5' 9""",145 lbs.,"72.0""",Orthodox,18,6
Lane,,"6' 6""",245 lbs.,"80.0""",Orthodox,13,5
Lanfranco,,--,155 lbs.,--,,5,1
Lang,,"5' 11""",205 lbs.,--,Southpaw,21,2
Lanham,,--,205 lbs.,--,,5,1
Lansberg,Elbow Queen,"5' 7""",135 lbs.,"65.0""",Orthodox,10,8
O'Brien,Irish,"6' 3""",205 lbs.,"76.0""",Orthodox,15,4
O'Brien,The Spider,"6' 2""",155 lbs.,--,Orthodox,20,8
O'Connell,The Real OC,"6' 1""",205 lbs.,"74.0""",Orthodox,17,9
O'Connor,Johnny Irish,"5' 4""",115 lbs.,--,,6,6
O'Haire,,"6' 5""",270 lbs.,--,Orthodox,4,2
O'Malley,Suga,"5' 11""",135 lbs.,"72.0""",Switch,18,2
O'Neal,,"5' 8""",260 lbs.,--,,13,25
O'Neil,Cold Steel,"6' 2""",170 lbs.,--,,17,9
O'Neill,King,"5' 6""",125 lbs.,"69.0""",Orthodox,10,2
O'Reilly,Badger,"5' 7""",170 lbs.,"69.0""",Orthodox,6,3
Oba,,"5' 8""",200 lbs.,--,Southpaw,5,7
Obiya,,"5' 8""",145 lbs.,--,Orthodox,12,5
Ochoa,Kalzifer,"5' 7""",125 lbs.,"67.0""",Southpaw,7,1
Ocon,,"5' 8""",135 lbs.,"69.0""",Orthodox,2,1
Odoms,The Black Eagle,"6' 5""",265 lbs.,--,Orthodox,13,3
Oezdemir,No Time,"6' 2""",205 lbs.,"75.0""",Orthodox,20,8
Ofli,Genghis,"5' 7""",145 lbs.,"66.0""",Orthodox,12,3
Ogawa,,"6' 4""",255 lbs.,--,Orthodox,7,2
Ogden,Shamurai,"5' 11""",155 lbs.,"72.0""",Orthodox,18,6
Ogle,The Little Axe,"5' 8""",145 lbs.,"69.0""",Orthodox,9,6
Oh,Spider,--,155 lbs.,--,,7,2
Ohara,,"5' 10""",205 lbs.,--,Orthodox,0,2
Oishi,,"5' 8""",170 lbs.,--,Orthodox,25,10
Okada,Giant Ochiai,"6' 1""",290 lbs.,--,Orthodox,3,3
Okami,Thunder,"6' 2""",170 lbs.,"75.0""",Southpaw,34,12
Pa'aluhi,Rocky,"5' 7""",135 lbs.,--,,6,5
Pace,,"5' 7""",135 lbs.,"68.0""",Orthodox,8,3
Pacheco,,"5' 7""",135 lbs.,--,Orthodox,10,2
Pacheco,,"5' 8""",135 lbs.,"70.0""",Orthodox,7,3
Packalen,Pacu,"6' 1""",155 lbs.,"75.0""",Orthodox,8,3
Pacurariu,Constantine,"5' 7""",135 lbs.,--,,10,5
Padilha,,"5' 11""",155 lbs.,--,,3,3
Padilla,,"5' 11""",205 lbs.,--,,12,6
Padilla,El Valiente,"6' 1""",145 lbs.,"76.0""",Orthodox,16,6
Padilla,Taco,"5' 9""",155 lbs.,"74.0""",Orthodox,15,6
Page,The Angel of Death,"5' 6""",135 lbs.,"66.0""",Orthodox,19,10
Page,Venom,"6' 3""",170 lbs.,"79.0""",Switch,22,3
Pague,The Disciple,"5' 9""",135 lbs.,"74.0""",Orthodox,12,11
Paiva,,"5' 6""",125 lbs.,--,,8,2
Paiva,,"5' 8""",135 lbs.,"69.0""",Orthodox,21,5
Paiva Jr.,Sweetbread,"5' 9""",145 lbs.,"71.0""",Southpaw,13,8
Paixao,,"5' 6""",145 lbs.,"66.0""",Orthodox,10,5
Pajuelo,Corazon de Leon,"5' 10""",145 lbs.,"69.0""",Orthodox,8,2
Palacios,,"5' 9""",145 lbs.,--,Orthodox,3,2
Palacios,El Gallero,"5' 6""",145 lbs.,--,Orthodox,10,1
Palaszewski,Bartimus,"5' 9""",145 lbs.,"70.0""",Orthodox,36,17
Palatnikov,,"6' 1""",170 lbs.,"72.0""",Switch,6,4
Palelei,The Hulk,"6' 4""",265 lbs.,"81.0""",Orthodox,22,5
Palhares,Toquinho,"5' 8""",170 lbs.,"71.0""",Orthodox,19,8
Palhares,,--,180 lbs.,--,,2,16
Lun,Tibetan Knight,"5' 8""",125 lbs.,"66.0""",Southpaw,16,9
Quach,,"5' 3""",145 lbs.,--,Orthodox,19,10
Quan,,"5' 8""",143 lbs.,--,,3,5
Quarantillo,,"5' 10""",145 lbs.,"70.0""",Orthodox,18,7
Quarry,Rock,"6' 0""",185 lbs.,"72.0""",Open Stance,12,4
Queiroz,Spartan,"6' 7""",220 lbs.,--,Orthodox,8,4
Quinlan,Crash,"6' 0""",185 lbs.,--,Orthodox,3,1
Quinlan,Bushido,"6' 0""",170 lbs.,"72.0""",Orthodox,6,3
Quinn,,"5' 8""",145 lbs.,--,,13,7
Quinones,El Capo,"5' 10""",155 lbs.,"73.0""",Orthodox,8,3
Quinones,The Lone Wolf,"5' 9""",155 lbs.,"70.0""",Southpaw,7,3
Quinonez,Teco,"5' 8""",135 lbs.,"69.0""",Southpaw,9,5
Quinonez,Problema,"5' 8""",135 lbs.,"70.0""",Orthodox,18,5
Radach,Razor,"5' 10""",185 lbs.,--,Orthodox,21,7
Radev,,"5' 7""",185 lbs.,--,Southpaw,23,5
Radtke,Chuck Buffalo,"5' 9""",170 lbs.,"72.0""",Orthodox,10,4
Radzhabov,The Tajik Tank,"5' 11""",155 lbs.,"69.0""",Orthodox,18,6
Rael,,"5' 8""",155 lbs.,--,,1,3
Rafferty,,"6' 0""",170 lbs.,--,Orthodox,9,8
Rahnavardi,,"6' 0""",205 lbs.,--,Orthodox,11,10
Rainey,The Sniper,"6' 1""",170 lbs.,"77.0""",Switch,12,6
Rakhmonov,Nomad,"6' 1""",170 lbs.,"77.0""",Orthodox,19,0
Rakhmonova,,--,125 lbs.,--,,4,1
Rakic,Rocket,"6' 4""",205 lbs.,"78.0""",Orthodox,14,5
Rakoczy,The Ragin',"5' 7""",115 lbs.,--,Orthodox,1,5
Ramaska,,"5' 11""",145 lbs.,"71.0""",Orthodox,9,3
Ramirez,,"6' 1""",410 lbs.,--,Sideways,0,1
Ramirez,Sick Dog,"6' 0""",205 lbs.,--,Orthodox,10,6
Ramirez,The Machine,"5' 5""",125 lbs.,--,,2,3
Ramirez,,"5' 7""",125 lbs.,--,,5,2
Ramirez,,--,135 lbs.,--,,5,4
Ramirez,,"5' 11""",155 lbs.,"71.0""",Orthodox,8,2
Ramm,The,"6' 1""",160 lbs.,--,,4,4
Rammel,,"6' 0""",185 lbs.,--,,7,8
Ramos,Beicao,"5' 8""",170 lbs.,--,Orthodox,20,10
Ramos,,"5' 9""",145 lbs.,"72.0""",Orthodox,17,6
Ramos,Tasmanian Devil,"5' 6""",155 lbs.,"70.0""",Orthodox,10,4
